iteration,residual_norm,relative_residual,bulk_potential,minimum_jacobian,maximum_penetration,step_norm,accepted_step,line_search_iterations,contact_branch_changed,augmentation,global_iteration
1,42.71530249209615,0.9720890451262129,3.280597130064872,0.7661756209413664,0.0031111417931179307,0.22053479067868167,0.03125,5,True,0,1
2,4.691201915550521,0.10675953872562598,0.823615109046615,0.9367506695242072,0.003391293278289326,0.18424003814244191,1.0,0,False,0,2
3,0.04120480867786129,0.0009377141395564745,0.792146220298861,0.9520485206824111,0.003850187413992665,0.019188298969915602,1.0,0,False,0,3
4,4.995508771288359e-06,1.1368477028343343e-07,0.7920733535144832,0.9520755537653565,0.0038533843089172686,0.00026780248890118254,1.0,0,False,0,4
5,1.3172949433801525e-13,2.9978202399408136e-15,0.7920733469558597,0.9520755541362944,0.003853384407412543,3.641052731780452e-08,1.0,0,False,0,5
1,1.871423602279831,0.19113044547587849,0.826694384156789,0.9524920629199688,0.0014107600734979966,0.006492463859897385,1.0,0,True,1,6
2,0.00028074353638172605,2.8672630348224768e-05,0.837585504596101,0.9512460581816714,0.0005969764721740629,0.0045928091230191545,1.0,0,False,1,7
3,2.016006396806884e-09,2.058968371642371e-10,0.8375850483508086,0.9512462351812666,0.00059700844895004,1.1161289779943488e-05,1.0,0,False,1,8
4,6.744805657353365e-14,6.8885404051103305e-15,0.8375850483532046,0.9512462351797162,0.0005970084487813555,9.043117687537696e-12,1.0,0,False,1,9
1,1.5765082895881104e-05,1.1598888783657189e-05,0.8457888524654946,0.9510105330532583,2.2395474722089473e-05,0.0009002634722935189,1.0,0,False,2,10
2,5.907868683201307e-13,4.346612844186595e-13,0.8457887844964025,0.9510105490957507,2.2400223483931562e-05,1.8539753144347553e-07,1.0,0,False,2,11
1,2.2204018573668522e-08,4.3539138696370187e-07,0.8460973943005137,0.9510017058589766,8.406521007503499e-07,3.37823154891617e-05,1.0,0,False,3,12
2,1.254822673083521e-13,2.460541015198172e-12,0.8460973942047626,0.951001705881571,8.406587887963003e-07,2.613833335093402e-10,1.0,0,False,3,13
1,3.1254952021729554e-11,1.6330507506347145e-08,0.8461089771551067,0.9510013740041137,3.154936480120885e-08,1.2678229841439066e-06,1.0,0,False,4,14
1,1.190327951665199e-13,1.657207083464198e-09,0.8461094118569672,0.9510013615490065,1.1840367922233421e-09,4.758065871900565e-08,1.0,0,False,5,15
